,id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx,image_link
13705,,,Misereris omnium * GLORIA SAECULORUM AMEN,g00662,1g,,,F-Pn : NAL 01235,,142v,,,,,genre_in,,http://musmed.eu/source/13534,,,Misereris omnium * GLORIA SAECULORUM AMEN,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b8432301z/f296.item
13706,,,Misereris omnium *,g00662,,,,F-Pn : NAL 01414,,134r,,,,feast_1396,genre_in,,http://musmed.eu/source/28426,,,Misereris omnium *,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b525113345/f273.item
13708,,,Misereris omnium domine et nihil odisti ,g00662,,,,D-BAa : Msc Lit 006,,019r,,,,feast_0660,genre_in,,http://musmed.eu/source/8677,,,Misereris omnium domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitentiam et parcens illis quia tu es dominus deus noster,,,,,,https://nbn-resolving.org/urn:nbn:de:bvb:22-msc.lit.6-3#0041
13710,,,Misereris *,g00662,1,,,D-LEu : Ms Thomas 391,,00c3v,,,,,genre_in,,http://musmed.eu/source/138221,,,Misereris *,,,,,,http://universalviewer.io/uv.html?manifest=https%3A//iiif.ub.uni-leipzig.de/0000032952/manifest.json#?c=0&m=0&s=0&cv=19&xywh=279%2C739%2C3302%2C1404=-1210%2C1403%2C6162%2C2808
13711,,,Misereris omnium Domine et nihil odisti ,g00662,1,,,A-KN : Cod 0073,,018r,,,,feast_0660,genre_in,,http://musmed.eu/source/17327,,,Misereris omnium Domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitentiam et parcens illis quia tu es Dominus Deus noster,,,,,,https://manuscripta.at/diglit/AT5000-73/0039
13712,,,Misereris omnium domine et nihil odisti ,g00662,1,,,GB-Dru : Cosin V.V.6,,042v,,,,feast_0660,genre_in,,http://musmed.eu/source/15574,,,Misereris omnium domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitentiam et parcens illis quia tu es dominus deus noster,,,,,,https://iiif.durham.ac.uk/index.html?manifest=t1mp2676v52p&canvas=t1t5425kb10h
13713,,,Misereris omnium Domine et nihil odisti ,g00662,,,,CH-SGv : VadSlg Ms 0295,,020r,,,,feast_0660,genre_in,,http://musmed.eu/source/14258,,,Misereris omnium Domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitentiam et parcens illis quia tu es Dominus Deus noster,,,,,,https://www.e-codices.unifr.ch/en/vad/0295/20r/0/
13714,,,Misereris omnium domine et nihil odisti ,g00662,1,,,F-PR : Ms 0012,,058v,,,,feast_0660,genre_in,,http://musmed.eu/source/14008,,,Misereris omnium domine et nihil odisti eorum quae fecisti dissimulans peccata hominum propter paenitentiam et parcens illis quia tu es dominus deus noster,,,,,,https://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&panier=false&reproductionId=4246&VUE_ID=936854&carouselThere=false&nbVignettes=4x3&page=1&angle=0&zoom=moyen&tailleReelle=
14857,,,Exaudi deus orationem meam et ,g00785,5,,,CH-P 18,,126,,,,feast_0639,genre_in,office_mi,http://cantus.uwaterloo.ca/source/638308,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,1---h--h--g---h--g---g--f--hk--kjg--kk---kl-mlkl--lk---kJ---k---l77--m--l--k---k--k--k--k--kjh--h---ghgfg--gf---f--gh--hk---h---ghgf---fgh7---hg--hij-kjhg-hjhg--fghgfg---gf---4,,,,http://www.e-codices.unifr.ch/en/bcj/0018/126
14861,,,Exaudi Deus orationem meam et ne ,g00785,2?,,,P-Ln (Lisboa) Biblioteca Nacional de Portugal Iluminado 084,,071r,,,,feast_0639,genre_in,office_mi,http://pemdatabase.eu/source/52642,,,,,,,,,http://pemdatabase.eu/image/88288
14881,,,Exaudi Deus orationem meam et,g00785,5,,,PL-Wn rps 12722 V,,084v,,,,feast_0639,,,http://cantus.ispan.pl/source/4559,,,Exaudi Deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,http://cantus.ispan.pl/node/29192
14883,,,Exaudi deus orationem meam et,g00785,5,,,PL-Wn Rps 12496 IV,,025v,,,,feast_0639,,,http://cantus.ispan.pl/source/33686,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,http://cantus.ispan.pl/node/34053
14884,,,Exaudi deus*,g00785,*,,,PL-Wn Rps 12496 IV,,085v,,,,,,,http://cantus.ispan.pl/source/33686,,,Exaudi deus*,,,,,,http://cantus.ispan.pl/node/35531
14885,,,Exaudi deus orationem meam et,g00785,5,,,PL-WRu I F 414,,029v,,,,feast_0639,,,http://cantus.ispan.pl/source/36027,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,http://cantus.ispan.pl/node/36207
14886,,,Exaudi deus*,g00785,*,,,PL-WRu I F 414,,112v,,,,,,,http://cantus.ispan.pl/source/36027,,,Exaudi deus*,,,,,,http://cantus.ispan.pl/node/37556
14887,,,Exaudi deus orationem meam et,g00785,5,,,PL-WRu I F 413,,040v,,,,feast_0639,,,http://cantus.ispan.pl/source/39360,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,http://cantus.ispan.pl/node/40083
14888,,,Exaudi deus*,g00785,*,,,PL-WRu I F 413,,162r,,,,,,,http://cantus.ispan.pl/source/39360,,,Exaudi deus*,,,,,,http://cantus.ispan.pl/node/41442
14889,,,Exaudi deus orationem meam et,g00785,5,,,PL-WRu I F 416,,050r,,,,feast_0639,,,http://cantus.ispan.pl/source/41816,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,http://cantus.ispan.pl/node/42352
